Categoria;Qunt.;Item;Imagem;Orçado;Site;Status
Cozinha;1;Jogo de porta mantimentos;https://a-static.mlcdn.com.br/618x463/kit-11-potes-de-vidro-hermetico-com-tampa-de-bambu-oikos/lojamozcada/20254/577e7fc2d6e9b303d4805dd5ac314fa0.jpeg; 260,00 ;https://www.magazinevoce.com.br/magazinepromocoesdosdias/kit-11-potes-de-vidro-hermetico-com-tampa-de-bambu-oikos/p/gc4egb24g6/ud/poud/;Disponível
Cozinha;1;Kit pia (Branco);https://a-static.mlcdn.com.br/800x560/kit-pia-cozinha-branco-3-pecas-ou-porta-detergente-lixeira-puxa-saco/prakza/918327/43affbb2172b35849c8144d61495abb4.jpg; 200,00 ;;Indisponível
Cozinha;1;tábua de corte;https://http2.mlstatic.com/D_NQ_NP_866794-MLB53646603069_022023-O.webp; 60,00 ;https://produto.mercadolivre.com.br/MLB-2850109643-tabua-de-carne-para-churrasco-grande-bambu-alca-36x26-_JM#position=6&search_layout=grid&type=item&tracking_id=e82d99aa-c3b9-48b1-baf4-6713a5bb76b4;Disponível
Cozinha;1;jogo de potes herméticos de vidro;https://m.media-amazon.com/images/I/61PBVCBeldL._AC_SX425_.jpg; 125,00 ;https://www.amazon.com.br/Potes-Herm%C3%A9tico-Retangular-Papinha-Pequeno/dp/B07QFSPXW4/ref=pd_bxgy_sccl_1/130-9075998-8861334?pd_rd_w=K98fM&content-id=amzn1.sym.758f3509-df88-4265-806c-565a738dc05d&pf_rd_p=758f3509-df88-4265-806c-565a738dc05d&pf_rd_r=5CGVGRR4FATNRJV9WNDZ&pd_rd_wg=EZi75&pd_rd_r=fe61801c-2b25-4503-8b34-338400c5c621&pd_rd_i=B07QFSPXW4&psc=1;Disponível
Cozinha;1;Conjunto tigelas em aço;https://images-americanas.b2w.io/produtos/01/00/img/134388/5/134388565_1GG.jpg; 100,00 ;https://www.submarino.com.br/produto/134388557?pfm_carac=T%C3%A1%20todo%20mundo%20querendo!&pfm_index=2&pfm_page=product&pfm_pos=item_page.rr1&pfm_type=vit_recommendation&DCSext.recom=RR_item_page.rr1-mars_ClickCP%3AP%3A1%3A%3Aads%3D%3AorderAdsTest%3D&nm_origem=rec_item_page.rr1-mars_ClickCP%3AP%3A1%3A%3Aads%3D%3AorderAdsTest%3D&nm_ranking_rec=3&offerId=610444570fff249a325e3ad2&cor=INOX&condition=NEW;Disponível
Cozinha;1;jogo de panelas;https://http2.mlstatic.com/D_NQ_NP_644017-MLB44092388081_112020-O.webp; 800,00 ;https://produto.mercadolivre.com.br/MLB-1718994696-jogo-de-panelas-preto-brinox-8-pecas-ceramic-life-smart-plus-_JM?matt_tool=92309335&matt_word=&matt_source=bing&matt_campaign=MLB_ML_BING_AO_HOME%20%26%20INDUSTRY-ALL-ALL_X_PLA_ALLB_TXS_ALL&matt_campaign_id=382858298&matt_ad_group=HOME%20%26%20INDUSTRY&matt_match_type=e&matt_network=o&matt_device=c&matt_keyword=default&msclkid=bb86509d82f51abd147234b1e7074fe6&utm_source=bing&utm_medium=cpc&utm_campaign=MLB_ML_BING_AO_HOME%20%26%20INDUSTRY-ALL-ALL_X_PLA_ALLB_TXS_ALL&utm_term=4579053617522478&utm_content=HOME%20%26%20INDUSTRY;Indisponível
Cozinha;1;Porta temperos;https://a-static.mlcdn.com.br/800x560/kit-10-potes-de-vidro-hermetico-com-tampa-de-bambu-200ml-oikos/lojamozcada/20347/af006012a75beaf30cf30663581e03f5.jpeg; 120,00 ;https://www.magazineluiza.com.br/kit-10-potes-de-vidro-hermetico-com-tampa-de-bambu-200ml-oikos/p/hgbhg69ab7/ud/poud/;Indisponível
Cozinha;1;Panela Pipoqueira;https://a-static.mlcdn.com.br/800x560/pipoqueira-pic-poc-20x145cm-42l-71157-brinox/casadasserrasltda/105436/54272513fcf0fdfa42deaaa9b5fb5204.jpeg; 160,00 ;https://www.magazineluiza.com.br/pipoqueira-pic-poc-20x145cm-42l-71157-brinox/p/dfbbjjcb62/ud/ppio/;Disponível
Cozinha;1;Conjunto tigelas de vidro Preto;https://a-static.mlcdn.com.br/800x560/conjunto-de-potes-de-vidro-com-tampa-tigelas-redondo-5-pecas-kit-splendo/vivaxdistribuidora/15956523444/9d2dd05edc40a828cdbacf7dc32443c8.jpeg; 90,00 ;https://www.magazineluiza.com.br/conjunto-de-potes-de-vidro-com-tampa-tigelas-redondo-5-pecas-kit-splendo/p/eg6aeef5g2/ud/poud/;Disponível
Reforma;3;Acessórios de banheiro - prata;https://m.media-amazon.com/images/I/61tpmX-PlDL._AC_SX679_.jpg; 125,00 ;https://www.amazon.com.br/FAKEME-ferragens-toalheiro-inoxid%C3%A1vel-resistente/dp/B09V7X8C1F/ref=asc_df_B09V7X8C1F/?tag=googleshopp06-20&linkCode=df0&hvadid=379675895001&hvpos=&hvnetw=g&hvrand=4915029838187423303&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=1001655&hvtargid=pla-1685084027456&psc=1;Disponível
Reforma;1;Ducha higiênica;https://m.media-amazon.com/images/I/41WCqsufS4L._AC_SX569_.jpg; 45,00 ;https://www.amazon.com.br/Higi%C3%AAnica-Banheiro-Cromado-Mangueira-120Cms/dp/B09WSQX1K8/ref=asc_df_B09WSQX1K8/?tag=googleshopp00-20&linkCode=df0&hvadid=379720654228&hvpos=&hvnetw=g&hvrand=10720547965432754692&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1001655&hvtargid=pla-1650553631979&th=1;Disponível
Reforma;2;Chuveiro elétrico;https://http2.mlstatic.com/D_NQ_NP_849918-MLA46626277189_072021-O.webp; 340,00 ;https://www.mercadolivre.com.br/chuveiro-eletrico-de-parede-lorenzetti-acqua-ultra-storm-branco-7800w-220v/p/MLB12543511?product_trigger_id=MLB15480278&attributes=POWER%3A7800+W%2CVOLTAGE%3A220V&quantity=1;Disponível
Reforma;1;Kit vaso sanitário;https://cdn.leroymerlin.com.br/products/kit_vaso_sanitario_com_caixa_acoplada_3_6l_saida_vertical_lille_branco_sensea_89841815_ef48_600x600.jpg; 790,00 ;https://www.leroymerlin.com.br/kit-vaso-sanitario-com-caixa-acoplada-3-6l-saida-vertical-lille-branco-sensea_89841815;Indisponível
Reforma;1;Torneira Parede - Cozinha;https://imgs.casasbahia.com.br/1549344527/1xg.jpg; 150,00 ;https://www.casasbahia.com.br/torneira-de-parede-cozinha-hydramotion-1168-preta-pta-hydra-1549344527/p/1549344527?utm_medium=Cpc&utm_source=google_freelisting&IdSku=1549344527&idLojista=88131&tipoLojista=3P;Disponível
Reforma;1;Ducha elétrica;https://http2.mlstatic.com/D_NQ_NP_790370-MLA46626277209_072021-O.webp; 390,00 ;https://www.mercadolivre.com.br/chuveiro-eletrico-de-parede-lorenzetti-acqua-ultra-storm-branco-cromado-7800w-220v/p/MLB15480278?product_trigger_id=MLB12543513&attributes=POWER%3A7800+W&quantity=1;Disponível
;;;;;;
